평일공휴일구분,호선,상하선구분,역명,혼잡율(5시),혼잡율(6시),혼잡율(7시),혼잡율(8시),혼잡율(9시),혼잡율(10시),혼잡율(11시),혼잡율(12시),혼잡율(13시),혼잡율(14시),혼잡율(15시),혼잡율(16시),혼잡율(17시),혼잡율(18시),혼잡율(19시),혼잡율(20시),혼잡율(21시),혼잡율(22시),혼잡율(23시),혼잡율(24시)
공휴일,의정부경전철,상선,곤제,5.86,5.01,5.4,11.49,13.42,14.65,15.2,16.53,19.16,14.75,14.26,14.06,13.61,10.4,6.93,5.5,6,6.15,5.28,2.48
공휴일,의정부경전철,상선,효자,7.43,5.63,6.14,13.61,15.94,17.92,17.77,19.85,21.44,16.58,15.84,16.04,15.74,11.53,7.87,6.53,6.44,6.44,5.61,3.71
공휴일,의정부경전철,상선,경기도청북부청사,7.76,5.82,6.24,13.71,16.58,19.21,19.06,21.98,22.43,17.33,17.43,16.83,16.49,12.28,8.27,6.93,6.81,6.72,6.02,3.96
공휴일,의정부경전철,상선,새말,8.17,6,7.13,14.65,18.02,22.08,21.88,26.98,29.26,23.27,22.08,22.52,21.29,17.77,11.24,9.41,9.78,9.55,8,4.7
공휴일,의정부경전철,상선,동오,8.99,6.93,8.22,16.63,21.44,26.29,24.95,30.1,32.33,27.03,25.35,24.26,23.71,20.69,12.18,10.25,10.64,9.76,8.83,5.69
공휴일,의정부경전철,상선,의정부중앙,9.41,7.61,8.91,19.06,24.6,29.7,27.62,33.17,35.05,28.51,26.34,24.85,25.15,21.98,12.67,11.29,12,10.47,9.32,4.46
공휴일,의정부경전철,상선,흥선,8.42,7.3,8.07,16.88,21.58,26.04,24.06,28.96,28.96,24.16,23.47,22.72,23.07,18.47,11.78,10.54,11.94,10.11,9.16,4.95
공휴일,의정부경전철,상선,의정부시청,8.91,7.18,7.92,17.62,21.73,26.19,24.95,28.56,28.42,23.17,21.73,21.63,22.33,16.78,10.25,9.36,10.71,8.77,7.92,4.21
공휴일,의정부경전철,상선,경전철의정부,8.09,6.81,7.13,15.84,19.7,24.36,23.42,27.87,26.88,22.43,20.74,21.58,22.13,16.63,9.46,8.96,10.27,8.42,7.51,3.22
공휴일,의정부경전철,상선,범골,6.44,5.88,6.04,12.52,15.1,17.28,16.09,17.97,16.83,16.24,15.69,18.71,17.92,15.2,9.41,8.96,10.46,9.05,9.49,5.45
공휴일,의정부경전철,상선,회룡,6.93,6.13,6.39,13.27,16.53,18.47,17.18,16.78,15.35,14.11,13.27,14.95,13.76,11.73,7.43,6.09,7.24,6.86,7.26,4.46
공휴일,의정부경전철,상선,발곡,1.32,1.61,1.88,2.52,2.43,2.82,4.65,5.45,5.45,6.53,6.58,8.56,7.62,7.57,5.1,4.7,4.64,4.17,4.7,2.72
공휴일,의정부경전철,하선,회룡,2.97,2.19,2.97,5.84,8.02,8.02,7.87,7.57,7.57,7.48,6.34,6.34,4.95,3.51,2.03,1.53,2.35,1.49,1.16,0.25
공휴일,의정부경전철,하선,범골,4.29,6.22,6.09,8.66,10.59,11.68,13.47,15.94,17.08,19.31,19.11,21.98,18.81,13.71,9.5,8.61,9.59,7.43,5.12,1.98
공휴일,의정부경전철,하선,경전철의정부,5.36,7.78,7.18,11.34,14.11,14.75,16.98,19.5,20.64,21.68,20.69,22.72,20,15.54,10.25,8.66,9.65,8.04,5.53,3.22
공휴일,의정부경전철,하선,의정부시청,6.68,8.2,7.23,10.74,12.38,13.47,13.61,16.49,20.05,20.84,22.67,25.99,22.77,18.71,14.31,13.56,14.54,12.13,10.48,4.95
공휴일,의정부경전철,하선,흥선,6.68,8.35,7.48,10.54,12.23,14.01,14.41,16.98,20.05,20.99,23.47,27.62,25.5,20.4,14.95,14.26,15.22,12.87,10.97,5.2
공휴일,의정부경전철,하선,의정부중앙,7.51,9.55,8.27,12.13,14.16,15.94,16.29,18.47,21.19,21.29,23.02,27.33,26.09,20.1,14.65,14.11,15.16,12.38,11.39,4.21
공휴일,의정부경전철,하선,동오,7.84,9.97,8.42,11.93,12.82,13.81,16.19,18.27,21.49,23.61,27.92,32.33,30.54,24.85,18.42,17.13,19.93,16.27,15.59,7.92
공휴일,의정부경전철,하선,새말,8.42,8.91,7.92,11.58,12.18,13.47,15.74,17.48,19.85,21.29,25.54,29.16,27.82,22.43,16.78,16.73,18.81,15.53,15.26,8.17
공휴일,의정부경전철,하선,경기도청북부청사,7.92,8.35,7.48,11.09,11.83,12.87,14.9,15.64,17.97,19.36,22.97,25.89,24.41,20.25,14.8,14.65,16.27,13.06,13.7,6.93
공휴일,의정부경전철,하선,효자,6.52,6.86,6.14,8.17,8.47,9.41,10.5,11.44,13.56,15.3,18.07,21.39,19.55,16.73,12.77,13.12,14.36,11.57,12.38,6.44
공휴일,의정부경전철,하선,곤제,5.78,6.36,5.74,7.28,7.72,8.86,9.75,11.04,12.52,14.65,17.18,20.15,18.47,15.99,12.18,12.62,13.74,10.89,11.72,5.45
공휴일,의정부경전철,하선,어룡,4.79,5.59,5.15,6.58,6.93,7.82,8.42,9.9,10.35,12.67,14.31,17.38,15.79,13.47,10.5,10.94,11.82,9.22,10.07,4.95
공휴일,의정부경전철,하선,송산,3.05,4.38,3.56,3.66,4.21,4.6,4.85,5.54,5.84,7.43,8.07,10.1,8.22,7.43,6.19,6.19,5.88,5.45,5.61,3.71
공휴일,의정부경전철,하선,탑석,1.49,0.92,0.94,1.04,1.63,1.68,2.57,2.28,2.62,3.42,3.37,4.26,3.51,3.27,2.33,2.97,2.41,2.97,2.97,1.49
